Variability measure,Alternate name,Variable name,Units
vm_SepBegR,vm_CSR,Average within-implicate variability for Beginning-of-Quarter Separation Rate,Rate
vm_HirAsR,vm_FAR,Average within-implicate variability for Hiring Rate (Flows into Full-Quarter Employment),Rate
vm_HirNsR,vm_FHR,Average within-implicate variability for New Hiring Rate (New Hires to Full-Quarter Status),Rate
vm_SepSR,vm_FSR,Average within-implicate variability for Separation Rate (Flows out of Full-Quarter Employment),Rate
vm_SepSnxR,vm_FSnxR,Average within-implicate variability for Separation Rate in the Next Quarter (Flow out of Full-Quarter Employment),Rate
vm_TurnOvrSR,vm_FTR,Average within-implicate variability for Turnover Rate (Stable),Rate
vm_FrmJbGnR,vm_JCR,Average within-implicate variability for Firm Job Gain Rate (Job Creation Rate),Rate
vm_FrmJbLsR,vm_JDR,Average within-implicate variability for Firm Job Loss Rate (Job Destruction Rate),Rate
vm_FrmJbCR,vm_JFR,Average within-implicate variability for Firm Job Change Rate (Net Change Rate),Rate
vm_HirAEndReplR,vm_EIR,Average within-implicate variability for Replacement Hiring Rate,Rate
vm_FrmJbGnSR,vm_FJCR,Average within-implicate variability for Firm Job Gain Rate (Stable),Rate
vm_FrmJbLsSR,vm_FJDR,Average within-implicate variability for Firm Job Loss Rate (Stable),Rate
vm_FrmJbCSR,vm_FJFR,Average within-implicate variability for Firm Job Change Rate (Stable; Net Change Rate),Rate
df_HirAR,df_AR,Degrees of freedom for VT of Hiring Rate (All Accessions),Rate
df_HirNR,df_HR,Degrees of freedom for VT of New Hiring Rate,Rate
df_HirRR,df_RR,Degrees of freedom for VT of Recall Rate,Rate
df_SepR,df_SR,Degrees of freedom for VT of Separation Rate (All Separations),Rate
df_HirAEndR,df_CAR,Degrees of freedom for VT of End-of-Quarter Hiring Rate,Rate
df_SepBegR,df_CSR,Degrees of freedom for VT of Beginning-of-Quarter Separation Rate,Rate
df_HirAsR,df_FAR,Degrees of freedom for VT of Hiring Rate (Flows into Full-Quarter Employment),Rate
df_HirNsR,df_FHR,Degrees of freedom for VT of New Hiring Rate (New Hires to Full-Quarter Status),Rate
df_SepSR,df_FSR,Degrees of freedom for VT of Separation Rate (Flows out of Full-Quarter Employment),Rate
df_SepSnxR,df_FSnxR,Degrees of freedom for VT of Separation Rate in the Next Quarter (Flow out of Full-Quarter Employment),Rate
df_TurnOvrSR,df_FTR,Degrees of freedom for VT of Turnover Rate (Stable),Rate
df_FrmJbGnR,df_JCR,Degrees of freedom for VT of Firm Job Gain Rate (Job Creation Rate),Rate
df_FrmJbLsR,df_JDR,Degrees of freedom for VT of Firm Job Loss Rate (Job Destruction Rate),Rate
df_FrmJbCR,df_JFR,Degrees of freedom for VT of Firm Job Change Rate (Net Change Rate),Rate
df_HirAEndReplR,df_EIR,Degrees of freedom for VT of Replacement Hiring Rate,Rate
df_FrmJbGnSR,df_FJCR,Degrees of freedom for VT of Firm Job Gain Rate (Stable),Rate
df_FrmJbLsSR,df_FJDR,Degrees of freedom for VT of Firm Job Loss Rate (Stable),Rate
df_FrmJbCSR,df_FJFR,Degrees of freedom for VT of Firm Job Change Rate (Stable; Net Change Rate),Rate
mr_HirAR,mr_AR,Missingness ratio for Hiring Rate (All Accessions),Rate
mr_HirNR,mr_HR,Missingness ratio for New Hiring Rate,Rate
mr_HirRR,mr_RR,Missingness ratio for Recall Rate,Rate
mr_SepR,mr_SR,Missingness ratio for Separation Rate (All Separations),Rate
mr_HirAEndR,mr_CAR,Missingness ratio for End-of-Quarter Hiring Rate,Rate
mr_SepBegR,mr_CSR,Missingness ratio for Beginning-of-Quarter Separation Rate,Rate
mr_HirAsR,mr_FAR,Missingness ratio for Hiring Rate (Flows into Full-Quarter Employment),Rate
mr_HirNsR,mr_FHR,Missingness ratio for New Hiring Rate (New Hires to Full-Quarter Status),Rate
mr_SepSR,mr_FSR,Missingness ratio for Separation Rate (Flows out of Full-Quarter Employment),Rate
mr_SepSnxR,mr_FSnxR,Missingness ratio for Separation Rate in the Next Quarter (Flow out of Full-Quarter Employment),Rate
mr_TurnOvrSR,mr_FTR,Missingness ratio for Turnover Rate (Stable),Rate
mr_FrmJbGnR,mr_JCR,Missingness ratio for Firm Job Gain Rate (Job Creation Rate),Rate
mr_FrmJbLsR,mr_JDR,Missingness ratio for Firm Job Loss Rate (Job Destruction Rate),Rate
mr_FrmJbCR,mr_JFR,Missingness ratio for Firm Job Change Rate (Net Change Rate),Rate
mr_HirAEndReplR,mr_EIR,Missingness ratio for Replacement Hiring Rate,Rate
mr_FrmJbGnSR,mr_FJCR,Missingness ratio for Firm Job Gain Rate (Stable),Rate
mr_FrmJbLsSR,mr_FJDR,Missingness ratio for Firm Job Loss Rate (Stable),Rate
mr_FrmJbCSR,mr_FJFR,Missingness ratio for Firm Job Change Rate (Stable; Net Change Rate),Rate
