Variability measure,Alternate name,Variable name
vb_FrmJbGnR,vb_JCR,Between-implicate variability for Firm Job Gain Rate (Job Creation Rate)
vb_FrmJbLsR,vb_JDR,Between-implicate variability for Firm Job Loss Rate (Job Destruction Rate)
vb_FrmJbCR,vb_JFR,Between-implicate variability for Firm Job Change Rate: Net Change Rate
vb_HirAEndReplR,vb_EIR,Between-implicate variability for Replacement Hiring Rate
vb_FrmJbGnSR,vb_FJCR,Between-implicate variability for Firm Job Gain Rate (Stable)
vb_FrmJbLsSR,vb_FJDR,Between-implicate variability for Firm Job Loss Rate (Stable)
vb_FrmJbCSR,vb_FJFR,Between-implicate variability for Job Change Rate (Stable): Net Change Rate
vm_HirAR,vm_AR,Average within-implicate variability for Hiring Rate (Accessions)
vm_HirNR,vm_HR,Average within-implicate variability for New Hiring Rate
vm_HirRR,vm_RR,Average within-implicate variability for Recall Rate
vm_SepR,vm_SR,Average within-implicate variability for Separation Rate
vm_HirAEndR,vm_CAR,Average within-implicate variability for End-of-Quarter Hiring Rate
vm_SepBegR,vm_CSR,Average within-implicate variability for Beginning-of-Quarter Separation Rate
vm_HirAsR,vm_FAR,Average within-implicate variability for Stable Hiring Rate (Flows into Full-Quarter Employment)
vm_HirNsR,vm_FHR,Average within-implicate variability for Stable New Hiring Rate (New Hires to Full-Quarter Status)
vm_SepSR,vm_FSR,Average within-implicate variability for Stable Separation Rate (Flow out of Full-Quarter Employment)
vm_SepSnxR,vm_FSnxR,Average within-implicate variability for Stable Separation Rate: Next Quarter (Flow out of Full-Quarter Employment)
vm_TurnOvrSR,vm_FTR,Average within-implicate variability for Turnover Rate (Stable)
vm_FrmJbGnR,vm_JCR,Average within-implicate variability for Firm Job Gain Rate (Job Creation Rate)
vm_FrmJbLsR,vm_JDR,Average within-implicate variability for Firm Job Loss Rate (Job Destruction Rate)
vm_FrmJbCR,vm_JFR,Average within-implicate variability for Firm Job Change Rate: Net Change Rate
vm_HirAEndReplR,vm_EIR,Average within-implicate variability for Replacement Hiring Rate
vm_FrmJbGnSR,vm_FJCR,Average within-implicate variability for Firm Job Gain Rate (Stable)
vm_FrmJbLsSR,vm_FJDR,Average within-implicate variability for Firm Job Loss Rate (Stable)
vm_FrmJbCSR,vm_FJFR,Average within-implicate variability for Job Change Rate (Stable): Net Change Rate
df_HirAR,df_AR,Degrees of freedom for VT of Hiring Rate (Accessions)
df_HirNR,df_HR,Degrees of freedom for VT of New Hiring Rate
df_HirRR,df_RR,Degrees of freedom for VT of Recall Rate
df_SepR,df_SR,Degrees of freedom for VT of Separation Rate
df_HirAEndR,df_CAR,Degrees of freedom for VT of End-of-Quarter Hiring Rate
df_SepBegR,df_CSR,Degrees of freedom for VT of Beginning-of-Quarter Separation Rate
df_HirAsR,df_FAR,Degrees of freedom for VT of Stable Hiring Rate (Flows into Full-Quarter Employment)
df_HirNsR,df_FHR,Degrees of freedom for VT of Stable New Hiring Rate (New Hires to Full-Quarter Status)
df_SepSR,df_FSR,Degrees of freedom for VT of Stable Separation Rate (Flow out of Full-Quarter Employment)
df_SepSnxR,df_FSnxR,Degrees of freedom for VT of Stable Separation Rate: Next Quarter (Flow out of Full-Quarter Employment)
df_TurnOvrSR,df_FTR,Degrees of freedom for VT of Turnover Rate (Stable)
df_FrmJbGnR,df_JCR,Degrees of freedom for VT of Firm Job Gain Rate (Job Creation Rate)
df_FrmJbLsR,df_JDR,Degrees of freedom for VT of Firm Job Loss Rate (Job Destruction Rate)
df_FrmJbCR,df_JFR,Degrees of freedom for VT of Firm Job Change Rate: Net Change Rate
df_HirAEndReplR,df_EIR,Degrees of freedom for VT of Replacement Hiring Rate
df_FrmJbGnSR,df_FJCR,Degrees of freedom for VT of Firm Job Gain Rate (Stable)
df_FrmJbLsSR,df_FJDR,Degrees of freedom for VT of Firm Job Loss Rate (Stable)
df_FrmJbCSR,df_FJFR,Degrees of freedom for VT of Job Change Rate (Stable): Net Change Rate
mr_HirAR,mr_AR,Missingness ratio for Hiring Rate (Accessions)
mr_HirNR,mr_HR,Missingness ratio for New Hiring Rate
mr_HirRR,mr_RR,Missingness ratio for Recall Rate
mr_SepR,mr_SR,Missingness ratio for Separation Rate
mr_HirAEndR,mr_CAR,Missingness ratio for End-of-Quarter Hiring Rate
mr_SepBegR,mr_CSR,Missingness ratio for Beginning-of-Quarter Separation Rate
mr_HirAsR,mr_FAR,Missingness ratio for Stable Hiring Rate (Flows into Full-Quarter Employment)
mr_HirNsR,mr_FHR,Missingness ratio for Stable New Hiring Rate (New Hires to Full-Quarter Status)
mr_SepSR,mr_FSR,Missingness ratio for Stable Separation Rate (Flow out of Full-Quarter Employment)
mr_SepSnxR,mr_FSnxR,Missingness ratio for Stable Separation Rate: Next Quarter (Flow out of Full-Quarter Employment)
mr_TurnOvrSR,mr_FTR,Missingness ratio for Turnover Rate (Stable)
mr_FrmJbGnR,mr_JCR,Missingness ratio for Firm Job Gain Rate (Job Creation Rate)
mr_FrmJbLsR,mr_JDR,Missingness ratio for Firm Job Loss Rate (Job Destruction Rate)
mr_FrmJbCR,mr_JFR,Missingness ratio for Firm Job Change Rate: Net Change Rate
mr_HirAEndReplR,mr_EIR,Missingness ratio for Replacement Hiring Rate
mr_FrmJbGnSR,mr_FJCR,Missingness ratio for Firm Job Gain Rate (Stable)
mr_FrmJbLsSR,mr_FJDR,Missingness ratio for Firm Job Loss Rate (Stable)
mr_FrmJbCSR,mr_FJFR,Missingness ratio for Job Change Rate (Stable): Net Change Rate
