cipcode,label,cip_level,CIPFamily,CIPDefinition
27,Mathematics and Statistics,2,27,Instructional programs that focus on the systematic study of logical symbolic language and its applications.
28,"Military Science, Leadership and Operational Art",2,28,"Instructional programs that provide professional education and training of military officers in leadership, military science and operational studies, security policy and strategy, military economics and management, and pre-officer training. These CIP codes are not valid for IPEDS reporting."
29,Military Technologies and Applied Sciences,2,29,"Instructional programs that prepare individuals in specialized and advanced subject matter for the armed services and related national security organizations, including intelligence operations, military applied sciences, and military technologies."
30,Multi/Interdisciplinary Studies,2,30,Instructional programs that derive from two or more distinct programs to provide a cross-cutting focus on a subject concentration that is not subsumed under a single discipline or occupational field.
31,"Parks, Recreation, Leisure, and Fitness Studies",2,31,"Instructional programs that focus on the principles and practices of managing parks and other recreational and fitness facilities; providing recreational, leisure and fitness services; and the study of human fitness."
32,Basic Skills and Developmental/Remedial Education,2,32,Instructional programs that focus on the fundamental knowledge and skills that individuals need to function productively in society. These CIP codes are not valid for IPEDS reporting.
33,Citizenship Activities,2,33,"Instructional programs that prepare individuals for citizenship, and provide instruction in how citizens may engage in civic activities. These CIP codes are not valid for IPEDS reporting."
34,Health-Related Knowledge and Skills,2,34,Instructional program that focus on the promotion of personal and family health. These CIP codes are not valid for IPEDS reporting.
35,Interpersonal and Social Skills,2,35,"Programs that focus on the development of methods and skills for effective interactions with others in a variety of settings (private, social, and business settings). These CIP codes are not valid for IPEDS reporting."
36,Leisure and Recreational Activities,2,36,Programs that focus on the development of an appreciation for and competency in recreational and leisure-related activities. These CIP codes are not valid for IPEDS reporting.
37,Personal Awareness and Self-Improvement,2,37,"Programs that focus on the development of improved self-awareness, avoidance of stressful behavior, and improved decision-making skills. These CIP codes are not valid for IPEDS reporting."
38,Philosophy and Religious Studies,2,38,"Instructional programs that focus on logical inquiry, philosophical analysis, and the academic study of organized systems of belief and religious practices."
39,Theology and Religious Vocations,2,39,Instructional programs that focus on the intramural study of theology and that prepare individuals for the professional practice of religious vocations.
40,Physical Sciences,2,40,"Instructional programs that focus on the scientific study of inanimate objects, processes of matter and energy, and associated phenomena."
41,Science Technologies/Technicians,2,41,Instructional programs that prepare individuals to apply scientific principles and technical skills in support of scientific research and development.
42,Psychology,2,42,"Instructional programs that focus on the scientific study of the behavior of individuals, independently or collectively, and the physical and environmental bases of mental, emotional, and neurological activity."
43,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",2,43,"""Instructional programs that focus on the principles and procedures for providing homeland security"
44,Public Administration and Social Service Professions,2,44,"Instructional programs that prepare individuals to analyze, manage, and deliver public programs and services."
45,Social Sciences,2,45,"Instructional programs that focus on the systematic study of social systems, social institutions, and social behavior."
46,Construction Trades,2,46,"Instructional programs that prepare individuals to apply technical knowledge and skills in the building, inspecting, and maintaining of structures and related properties."
47,Mechanic and Repair Technologies/Technicians,2,47,"Instructional programs that prepare individuals to apply technical knowledge and skills in the adjustment, maintenance, part replacement, and repair of tools, equipment, and machines."
48,Precision Production,2,48,Instructional programs that prepare individuals to apply technical knowledge and skills to create products using techniques of precision craftsmanship or technical illustration.
49,Transportation and Materials Moving,2,49,Instructional programs that prepare individuals to apply technical knowledge and skills to perform tasks and services that facilitate the movement of people or materials.
50,Visual and Performing Arts,2,50,"Instructional programs that focus on the creation and interpretation of works and performances that use auditory, kinesthetic, and visual phenomena to express ideas and emotions in various forms, subject to aesthetic criteria."
51,Health Professions and Related Programs,2,51,Instructional programs that prepare individuals to practice as licensed professionals and assistants in the health care professions and related clinical sciences and administrative and support services.
52,"Business, Management, Marketing, and Related Support Services",2,52,"Instructional programs that prepare individuals to perform managerial, technical support, and applied research functions related to the operation of commercial and non-profit enterprises and the buying and selling of goods and services."
53,High School/Secondary Diplomas and Certificates,2,53,Instructional programs that define the prescribed requirements for high school/secondary school graduation. These CIP codes are not valid for IPEDS reporting.
54,History,2,54,"Instructional programs that focus on the study and interpretation of past events, institutions, issues, and cultures."
60,Residency Programs,2,60,"Programs that prepare medical doctors (MD), osteopaths (DO), dentists (DDS, DMD), veterinarians (DVM), and podiatrists (DPM) for certification as practitioners of recognized specialties in their respective professions. These programs are approved and accredited by designated professional associations and require from one to five years to complete, depending on the program. Residency programs that also result in an academic degree completion, such as an MS or PhD, should be reported under one of the clinical sciences codes located in Series 26, 51.05, or 51.25, rather than in a residency code located in Series 60. These CIP codes are not valid for IPEDS reporting."
01.00,"Agriculture, General",4,01,Instructional content is defined in code 01.0000.
01.01,Agricultural Business and Management,4,01,Instructional content for this group of programs is defined in codes 01.0101 - 01.0199.
01.02,Agricultural Mechanization,4,01,Instructional content for this group of programs is defined in codes 01.0201 - 01.0299.
01.03,Agricultural Production Operations,4,01,Instructional content for this group of programs is defined in codes 01.0301 - 01.0399.
01.04,Agricultural and Food Products Processing,4,01,Instructional content is defined in code 01.0401.
01.05,Agricultural and Domestic Animal Services,4,01,Instructional content for this group of programs is defined in codes 01.0504 - 01.0599.
01.06,Applied Horticulture and Horticultural Business Services,4,01,Instructional content for this group of programs is defined in codes 01.0601 - 01.0699.
01.07,International Agriculture,4,01,Instructional content is defined in code 01.0701.
01.08,Agricultural Public Services,4,01,Instructional content for this group of programs is defined in codes 01.0801 - 01.0899.
01.09,Animal Sciences,4,01,Instructional content for this group of programs is defined in codes 01.0901 - 01.0999.
01.10,Food Science and Technology,4,01,Instructional content for this group of programs is defined in codes 01.1001 - 01.1099.
01.11,Plant Sciences,4,01,Instructional content for this group of programs is defined in codes 01.1101 - 01.1199.
01.12,Soil Sciences,4,01,Instructional content for this group of programs is defined in codes 01.1201 - 01.1299.
01.99,"Agriculture, Agriculture Operations, and Related Sciences, Other",4,01,Instructional content is defined in code 01.9999.
01.XX,"Agriculture, Agriculture Operations, and Related Sciences (Consolidated 01.00-01.99)",4,01,"Instructional programs that focus on agriculture and related sciences and that prepare individuals to apply specific knowledge, methods, and techniques to the management and performance of agricultural operations."
03.01,Natural Resources Conservation and Research,4,03,Instructional content for this group of programs is defined in codes 03.0101 - 03.0199.
03.02,Natural Resources Management and Policy,4,03,Instructional content for this group of programs is defined in codes 03.0201 - 03.0299.
03.03,Fishing and Fisheries Sciences and Management,4,03,Instructional content is defined in code 03.0301.
03.05,Forestry,4,03,Instructional content for this group of programs is defined in codes 03.0501 - 03.0599.
03.06,Wildlife and Wildlands Science and Management,4,03,Instructional content is defined in code 03.0601.
03.99,"Natural Resources and Conservation, Other",4,03,Instructional content is defined in code 03.9999.
03.XX,Natural Resources and Conservation (Consolidated 03.01-03.99),4,03,Instructional programs that focus on the various natural resources and conservation fields and prepare individuals for related occupations.
04.02,Architecture,4,04,Instructional content is defined in code 04.0201.
04.03,"City/Urban, Community and Regional Planning",4,04,Instructional content is defined in code 04.0301.
04.04,Environmental Design,4,04,Instructional content is defined in code 04.0401.
04.05,Interior Architecture,4,04,Instructional content is defined in code 04.0501.
04.06,Landscape Architecture,4,04,Instructional content is defined in code 04.0601.
04.08,Architectural History and Criticism,4,04,Instructional content is defined in code 04.0801.
04.09,Architectural Sciences and Technology,4,04,Instructional content for this group of programs is defined in codes 04.0901 - 04.0999.
04.10,Real Estate Development,4,04,Instructional content is defined in code 04.1001.
04.99,"Architecture and Related Services, Other",4,04,Instructional content is defined in code 04.9999.
04.XX,Architecture and Related Services (Consolidated 04.02-04.99),4,04,Instructional programs that prepare individuals for professional practice in the various architecture-related fields and focus on the study of related aesthetic and socioeconomic aspects of the built environment.
05.01,Area Studies,4,05,Instructional content for this group of programs is defined in codes 05.0101 - 05.0199.
05.02,"Ethnic, Cultural Minority, Gender, and Group Studies",4,05,Instructional content for this group of programs is defined in codes 05.0200 - 05.0299.
05.XX,"Area, Ethnic, Cultural, Gender, and Group Studies (Consolidated 05.01-05.02)",4,05,"Instructional programs that focus on the defined areas, regions, and countries of the world; defined minority groups within and across societies; and issues relevant to collective gender and group experience."
09.01,Communication and Media Studies,4,09,Instructional content for this group of programs is defined in codes 09.0100 - 09.0199.
09.04,Journalism,4,09,Instructional content for this group of programs is defined in codes 09.0401 - 09.0499.
09.07,"Radio, Television, and Digital Communication",4,09,Instructional content for this group of programs is defined in codes 09.0701 - 09.0799.
09.09,"Public Relations, Advertising, and Applied Communication",4,09,Instructional content for this group of programs is defined in codes 09.0900 - 09.0999.
09.10,Publishing,4,09,Instructional content is defined in code 09.1001.
09.99,"Communication, Journalism, and Related Programs, Other",4,09,Instructional content is defined in code 09.9999.
09.XX,"Communication, Journalism, and Related Programs (Consolidated 09.01-09.99)",4,09,"Instructional programs that focus on how messages in various media are produced, used, and interpreted within and across different contexts, channels, and cultures, and that prepare individuals to apply communication knowledge and skills professionally."
10.01,Communications Technology/Technician,4,10,Instructional content is defined in code 10.0105.
10.02,Audiovisual Communications Technologies/Technicians,4,10,Instructional content for this group of programs is defined in codes 10.0201 - 10.0299.
10.03,Graphic Communications,4,10,Instructional content for this group of programs is defined in codes 10.0301 - 10.0399.
10.99,"Communications Technologies/Technicians and Support Services, Other",4,10,Instructional content is defined in code 10.9999.
10.XX,Communications Technologies/Technicians and Support Services (Consolidated 10.01-10.99),4,10,"Instructional programs that prepare individuals to function as equipment operators, support technicians, and operations managers in the film/video, recording, and graphic communications industries."
11.01,"Computer and Information Sciences, General",4,11,Instructional content for this group of programs is defined in codes 11.0101 - 11.0199.
11.02,Computer Programming,4,11,Instructional content for this group of programs is defined in codes 11.0201 - 11.0299.
11.03,Data Processing,4,11,Instructional content is defined in code 11.0301.
11.04,Information Science/Studies,4,11,Instructional content is defined in code 11.0401.
11.05,Computer Systems Analysis,4,11,Instructional content is defined in code 11.0501.
11.06,Data Entry/Microcomputer Applications,4,11,Instructional content for this group of programs is defined in codes 11.0601 - 11.0699.
11.07,Computer Science,4,11,Instructional content is defined in code 11.0701.
11.08,Computer Software and Media Applications,4,11,Instructional content for this group of programs is defined in codes 11.0801 - 11.0899.
11.09,Computer Systems Networking and Telecommunications,4,11,Instructional content is defined in code 11.0901.
11.10,Computer/Information Technology Administration and Management,4,11,Instructional content for this group of programs is defined in codes 11.1001 - 11.1099.
11.99,"Computer and Information Sciences and Support Services, Other",4,11,Instructional content is defined in code 11.9999.
11.XX,Computer and Information Sciences and Support Services (Consolidated 11.01-11.99),4,11,Instructional programs that focus on the computer and information sciences and prepare individuals for various occupations in information technology and computer operations fields.
12.03,Funeral Service and Mortuary Science,4,12,Instructional content for this group of programs is defined in codes 12.0301 - 12.0399.
12.04,Cosmetology and Related Personal Grooming Services,4,12,Instructional content for this group of programs is defined in codes 12.0401 - 12.0499.
12.05,Culinary Arts and Related Services,4,12,Instructional content for this group of programs is defined in codes 12.0500 - 12.0599.
12.99,"Personal and Culinary Services, Other",4,12,Instructional content is defined in code 12.9999.
12.XX,Personal and Culinary Services (Consolidated 12.03-12.99),4,12,"Instructional programs that prepare individuals to provide professional services related to cosmetology, funeral services, and food preparation and service."
13.01,"Education, General",4,13,Instructional content is defined in code 13.0101.
13.02,"Bilingual, Multilingual, and Multicultural Education",4,13,Instructional content for this group of programs is defined in codes 13.0201 - 13.0299.
13.03,Curriculum and Instruction,4,13,Instructional content is defined in code 13.0301.
13.04,Educational Administration and Supervision,4,13,Instructional content for this group of programs is defined in codes 13.0401 - 13.0499.
13.05,Educational/Instructional Media Design,4,13,Instructional content is defined in code 13.0501.
13.06,"Educational Assessment, Evaluation, and Research",4,13,Instructional content for this group of programs is defined in codes 13.0601 - 13.0699.
13.07,International and Comparative Education,4,13,Instructional content is defined in code 13.0701.
13.09,Social and Philosophical Foundations of Education,4,13,Instructional content is defined in code 13.0901.
13.10,Special Education and Teaching,4,13,Instructional content for this group of programs is defined in codes 13.1001 - 13.1099.
13.11,Student Counseling and Personnel Services,4,13,Instructional content for this group of programs is defined in codes 13.1101 - 13.1199.
13.12,"Teacher Education and Professional Development, Specific Levels and Methods",4,13,Instructional content for this group of programs is defined in codes 13.1201 - 13.1299.
13.13,"Teacher Education and Professional Development, Specific Subject Areas",4,13,Instructional content for this group of programs is defined in codes 13.1301 - 13.1399.
13.14,Teaching English or French as a Second or Foreign Language,4,13,Instructional content for this group of programs is defined in codes 13.1401 - 13.1499.
13.15,Teaching Assistants/Aides,4,13,Instructional content for this group of programs is defined in codes 13.1501 - 13.1599.
13.99,"Education, Other",4,13,Instructional content is defined in code 13.9999.
13.XX,Education (Consolidated 13.01-13.99),4,13,"Instructional programs that focus on the theory and practice of learning and teaching, and related research, administrative and support services."
14.01,"Engineering, General",4,14,Instructional content for this group of programs is defined in codes 14.0101 - 14.0102.
14.02,"Aerospace, Aeronautical and Astronautical Engineering",4,14,Instructional content is defined in code 14.0201.
14.03,Agricultural Engineering,4,14,Instructional content is defined in code 14.0301.
14.04,Architectural Engineering,4,14,Instructional content is defined in code 14.0401.
14.05,Biomedical/Medical Engineering,4,14,Instructional content is defined in code 14.0501.
14.06,Ceramic Sciences and Engineering,4,14,Instructional content is defined in code 14.0601.
14.07,Chemical Engineering,4,14,Instructional content for this group of programs is defined in codes 14.0701 - 14.0799.
14.08,Civil Engineering,4,14,Instructional content for this group of programs is defined in codes 14.0801 - 14.0899.
14.09,Computer Engineering,4,14,Instructional content for this group of programs is defined in codes 14.0901 - 14.0999.
14.10,"Electrical, Electronics and Communications Engineering",4,14,Instructional content for this group of programs is defined in codes 14.1001 - 14.1099.
14.11,Engineering Mechanics,4,14,Instructional content is defined in code 14.1101.
14.12,Engineering Physics,4,14,Instructional content is defined in code 14.1201.
14.13,Engineering Science,4,14,Instructional content is defined in code 14.1301.
14.14,Environmental/Environmental Health Engineering,4,14,Instructional content is defined in code 14.1401.
14.18,Materials Engineering,4,14,Instructional content is defined in code 14.1801.
14.19,Mechanical Engineering,4,14,Instructional content is defined in code 14.1901.
14.20,Metallurgical Engineering,4,14,Instructional content is defined in code 14.2001.
14.21,Mining and Mineral Engineering,4,14,Instructional content is defined in code 14.2101.
14.22,Naval Architecture and Marine Engineering,4,14,Instructional content is defined in code 14.2201.
14.23,Nuclear Engineering,4,14,Instructional content is defined in code 14.2301.
14.24,Ocean Engineering,4,14,Instructional content is defined in code 14.2401.
14.25,Petroleum Engineering,4,14,Instructional content is defined in code 14.2501.
14.27,Systems Engineering,4,14,Instructional content is defined in code 14.2701.
14.28,Textile Sciences and Engineering,4,14,Instructional content is defined in code 14.2801. These CIP codes are not valid for IPEDS reporting.
14.31,Materials Science,4,14,Moved from 14.31 to 40.10
14.32,Polymer/Plastics Engineering,4,14,Instructional content is defined in code 14.3201.
14.33,Construction Engineering,4,14,Instructional content is defined in code 14.3301.
14.34,Forest Engineering,4,14,Instructional content is defined in code 14.3401.
14.35,Industrial Engineering,4,14,Instructional content is defined in code 14.3501.
14.36,Manufacturing Engineering,4,14,Instructional content is defined in code 14.3601.
14.37,Operations Research,4,14,Instructional content is defined in code 14.3701.
14.38,Surveying Engineering,4,14,Instructional content is defined in code 14.3801.
14.39,Geological/Geophysical Engineering,4,14,Instructional content is defined in code 14.3901.
14.40,Paper Science and Engineering,4,14,Instructional content is defined in code 14.4001.
14.41,Electromechanical Engineering,4,14,Instructional content is defined in code 14.4101.
14.42,"Mechatronics, Robotics, and Automation Engineering",4,14,Instructional content is defined in code 14.4201.
14.43,Biochemical Engineering,4,14,Instructional content is defined in code 14.4301.
14.44,Engineering Chemistry,4,14,Instructional content is defined in code 14.4401.
14.45,Biological/Biosystems Engineering,4,14,Instructional content is defined in code 14.4501.
14.99,"Engineering, Other",4,14,Instructional content is defined in code 14.9999.
14.XX,Engineering (Consolidated 14.01-14.99),4,14,Instructional programs that prepare individuals to apply mathematical and     scientific principles to the solution of practical problems.
15.00,"Engineering Technology, General",4,15,Instructional content is defined in code 15.0000.
15.01,Architectural Engineering Technologies/Technicians,4,15,Instructional content is defined in code 15.0101.
15.02,Civil Engineering Technologies/Technicians,4,15,Instructional content is defined in code 15.0201.
15.03,Electrical Engineering Technologies/Technicians,4,15,Instructional content for this group of programs is defined in codes 15.0303 - 15.0399.
15.04,Electromechanical Instrumentation and Maintenance Technologies/Technicians,4,15,Instructional content for this group of programs is defined in codes 15.0401 - 15.0499.
15.05,Environmental Control Technologies/Technicians,4,15,Instructional content for this group of programs is defined in codes 15.0501 - 15.0599.
15.06,Industrial Production Technologies/Technicians,4,15,Instructional content for this group of programs is defined in codes 15.0607 - 15.0699.
15.07,Quality Control and Safety Technologies/Technicians,4,15,Instructional content for this group of programs is defined in codes 15.0701 - 15.0799.
15.08,Mechanical Engineering Related Technologies/Technicians,4,15,Instructional content for this group of programs is defined in codes 15.0801 - 15.0899.
15.09,Mining and Petroleum Technologies/Technicians,4,15,Instructional content for this group of programs is defined in codes 15.0901 - 15.0999.
15.10,Construction Engineering Technologies,4,15,Instructional content is defined in code 15.1001.
15.11,Engineering-Related Technologies,4,15,Instructional content for this group of programs is defined in codes 15.1102 - 15.1199.
15.12,Computer Engineering Technologies/Technicians,4,15,Instructional content for this group of programs is defined in codes 15.1201 - 15.1299.
15.13,Drafting/Design Engineering Technologies/Technicians,4,15,Instructional content for this group of programs is defined in codes 15.1301 - 15.1399.
15.14,Nuclear Engineering Technologies/Technicians,4,15,Instructional content is defined in code 15.1401.
15.15,Engineering-Related Fields,4,15,Instructional content for this group of programs is defined in codes 15.1501 - 15.1599.
15.16,Nanotechnology,4,15,Instructional content is defined in code 15.1601.
15.99,"Engineering Technologies/Technicians, Other",4,15,Instructional content is defined in code 15.9999.
15.XX,Engineering Technologies and Engineering-Related Fields (Consolidated 15.00-15.99),4,15,Instructional programs that prepare individuals to apply basic engineering principles and technical skills in support of engineering and related projects or to prepare for engineering-related fields.
16.01,"Linguistic, Comparative, and Related Language Studies and Services",4,16,Instructional content for this group of programs is defined in codes 16.0101 - 16.0199.
16.02,"African Languages, Literatures, and Linguistics",4,16,Instructional content is defined in code 16.0201.
16.03,"East Asian Languages, Literatures, and Linguistics",4,16,Instructional content for this group of programs is defined in codes 16.0300 - 16.0399.
16.04,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics",4,16,Instructional content for this group of programs is defined in codes 16.0400 - 16.0499.
16.05,"Germanic Languages, Literatures, and Linguistics",4,16,Instructional content for this group of programs is defined in codes 16.0500 - 16.0599.
16.06,Modern Greek Language and Literature,4,16,Instructional content is defined in code 16.0601.
16.07,"South Asian Languages, Literatures, and Linguistics",4,16,Instructional content for this group of programs is defined in codes 16.0700 - 16.0799.
16.08,"Iranian/Persian Languages, Literatures, and Linguistics",4,16,Instructional content is defined in code 16.0801.
16.09,"Romance Languages, Literatures, and Linguistics",4,16,Instructional content for this group of programs is defined in codes 16.0900 - 16.0999.
16.10,"American Indian/Native American Languages, Literatures, and Linguistics",4,16,Instructional content is defined in code 16.1001.
16.11,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics",4,16,Instructional content for this group of programs is defined in codes 16.1100 - 16.1199.
16.12,"Classics and Classical Languages, Literatures, and Linguistics",4,16,Instructional content for this group of programs is defined in codes 16.1200 - 16.1299.
16.13,"Celtic Languages, Literatures, and Linguistics",4,16,Instructional content is defined in code 16.1301.
16.14,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics",4,16,Instructional content for this group of programs is defined in codes 16.1400 - 16.1499.
16.15,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics",4,16,Instructional content for this group of programs is defined in codes 16.1501 - 16.1599.
16.16,American Sign Language,4,16,Instructional content for this group of programs is defined in codes 16.1601 - 16.1699.
16.99,"Foreign Languages, Literatures, and Linguistics, Other",4,16,Instructional content is defined in code 16.9999.
16.XX,"Foreign Languages, Literatures, and Linguistics (Consolidated 16.01-16.99)",4,16,"Instructional programs that focus on foreign languages and literatures, the humanistic and scientific study of linguistics, and the provision of professional interpretation and translation services."
19.00,Work and Family Studies,4,19,Instructional content is defined in code 19.0000.
19.01,"Family and Consumer Sciences/Human Sciences, General",4,19,Instructional content is defined in code 19.0101.
19.02,Family and Consumer Sciences/Human Sciences Business Services,4,19,Instructional content for this group of programs is defined in codes 19.0201 - 19.0299.
19.04,Family and Consumer Economics and Related Studies,4,19,Instructional content for this group of programs is defined in codes 19.0401 - 19.0499.
19.05,"Foods, Nutrition, and Related Services",4,19,Instructional content for this group of programs is defined in codes 19.0501 - 19.0599.
19.06,Housing and Human Environments,4,19,Instructional content for this group of programs is defined in codes 19.0601 - 19.0699.
19.07,"Human Development, Family Studies, and Related Services",4,19,Instructional content for this group of programs is defined in codes 19.0701 - 19.0799.
19.09,Apparel and Textiles,4,19,Instructional content for this group of programs is defined in codes 19.0901 - 19.0999.
19.99,"Family and Consumer Sciences/Human Sciences, Other",4,19,Instructional content is defined in code 19.9999.
19.XX,Family and Consumer Sciences/Human Sciences (Consolidated 19.00-19.99),4,19,"Instructional programs that focus on the human interface with the physical, social, emotional, and intellectual environments and the developmental stages and needs of individuals in the interrelated spheres of family, workplace, and community."
22.00,Non-Professional General Legal Studies (Undergraduate),4,22,Instructional content for this group of programs is defined in codes 22.0000 - 22.0001.
22.01,Law,4,22,Instructional content is defined in code 22.0101.
22.02,Legal Research and Advanced Professional Studies,4,22,Instructional content for this group of programs is defined in codes 22.0201 - 22.0299.
22.03,Legal Support Services,4,22,Instructional content for this group of programs is defined in codes 22.0301 - 22.0399.
22.99,"Legal Professions and Studies, Other",4,22,Instructional content is defined in code 22.9999.
22.XX,Legal Professions and Studies (Consolidated 22.00-22.99),4,22,"Instructional programs that prepare individuals for the legal profession, for related support professions and professional legal research, and focus on the study of legal issues in non-professional programs."
23.01,"English Language and Literature, General",4,23,Instructional content is defined in code 23.0101.
23.13,Rhetoric and Composition/Writing Studies,4,23,Instructional content for this group of programs is defined in codes 23.1301 - 23.1399.
23.14,Literature,4,23,Instructional content for this group of programs is defined in codes 23.1401 - 23.1499.
23.99,"English Language and Literature/Letters, Other",4,23,Instructional content is defined in code 23.9999.
23.XX,English Language and Literature/Letters (Consolidated 23.01-23.99),4,23,"Instructional programs that focus on the structure and use of the English language and dialects, speech, writing, and various aspects of the literatures and cultures of the English-speaking peoples."
24.01,"Liberal Arts and Sciences, General Studies and Humanities",4,24,Instructional content for this group of programs is defined in codes 24.0101 - 24.0199.
24.XX,"Liberal Arts and Sciences, General Studies and Humanities (Consolidated 24.01-24.01)",4,24,"General instructional programs and independent or individualized studies in the liberal arts subjects, the humanities disciplines and the general curriculum."
25.01,Library Science and Administration,4,25,Instructional content for this group of programs is defined in codes 25.0101 - 25.0199.
25.03,Library and Archives Assisting,4,25,Instructional content is defined in code 25.0301.
25.99,"Library Science, Other",4,25,Instructional content is defined in code 25.9999.
25.XX,Library Science (Consolidated 25.01-25.99),4,25,"Instructional programs that focus on the knowledge and skills required for managing and/or maintaining libraries and related information and record systems,  collections and facilities for research and general use."
26.01,"Biology, General",4,26,Instructional content for this group of programs is defined in codes 26.0101 - 26.0102.
26.02,"Biochemistry, Biophysics and Molecular Biology",4,26,Instructional content for this group of programs is defined in codes 26.0202 - 26.0299.
26.03,Botany/Plant Biology,4,26,Instructional content for this group of programs is defined in codes 26.0301 - 26.0399.
26.04,Cell/Cellular Biology and Anatomical Sciences,4,26,Instructional content for this group of programs is defined in codes 26.0401 - 26.0499.
26.05,Microbiological Sciences and Immunology,4,26,Instructional content for this group of programs is defined in codes 26.0502 - 26.0599.
26.07,Zoology/Animal Biology,4,26,Instructional content for this group of programs is defined in codes 26.0701 - 26.0799.
26.08,Genetics,4,26,Instructional content for this group of programs is defined in codes 26.0801 - 26.0899.
26.09,"Physiology, Pathology and Related Sciences",4,26,Instructional content for this group of programs is defined in codes 26.0901 - 26.0999.
26.10,Pharmacology and Toxicology,4,26,Instructional content for this group of programs is defined in codes 26.1001 - 26.1099.
26.11,"Biomathematics, Bioinformatics, and Computational Biology",4,26,Instructional content for this group of programs is defined in codes 26.1101 - 26.1199.
26.12,Biotechnology,4,26,Instructional content is defined in code 26.1201.
26.13,"Ecology, Evolution, Systematics, and Population Biology",4,26,Instructional content for this group of programs is defined in codes 26.1301 - 26.1399.
26.14,Molecular Medicine,4,26,Instructional content is defined in code 26.1401.
26.15,Neurobiology and Neurosciences,4,26,Instructional content for this group of programs is defined in codes 26.1501 - 26.1599.
26.99,"Biological and Biomedical Sciences, Other",4,26,Instructional content is defined in code 26.9999.
26.XX,Biological and Biomedical Sciences (Consolidated 26.01-26.99),4,26,"Instructional programs that focus on the biological sciences and the non-clinical biomedical sciences, and that prepare individuals for research and professional careers as biologists and biomedical scientists."
27.01,Mathematics,4,27,Instructional content for this group of programs is defined in codes 27.0101 - 27.0199.
27.03,Applied Mathematics,4,27,Instructional content for this group of programs is defined in codes 27.0301 - 27.0399.
27.05,Statistics,4,27,Instructional content for this group of programs is defined in codes 27.0501 - 27.0599.
27.99,"Mathematics and Statistics, Other",4,27,Instructional content is defined in code 27.9999.
27.XX,Mathematics and Statistics (Consolidated 27.01-27.99),4,27,Instructional programs that focus on the systematic study of logical symbolic language and its applications.
28.01,"Air Force ROTC, Air Science and Operations",4,28,Instructional content for this group of programs is defined in codes 28.0101 - 28.0199. These CIP codes are not valid for IPEDS reporting.
